Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
44006;Concorde - Stalingrad;OUI;35;24;11;2;9;OUI;OUI;2024-06-15T12:48:53+02:00;48.7985844, 2.3821302;Vitry-sur-Seine;
33017;Anatole France - President Roosevelt;OUI;29;9;20;11;9;OUI;OUI;2024-06-15T12:46:38+02:00;48.9155156, 2.3814103;Aubervilliers;
19120;Carducci - Place Hannah Arendt;OUI;27;26;1;0;1;OUI;OUI;2024-06-15T12:46:34+02:00;48.877436681515796, 2.3860743641853337;Paris;
15042;Henry Farman;OUI;16;1;15;6;9;OUI;OUI;2024-06-15T12:47:18+02:00;48.83372430280548, 2.2713854536414146;Paris;
18003;Cimetière de Montmartre;OUI;43;39;2;0;2;OUI;OUI;2024-06-15T12:50:47+02:00;48.886472466142, 2.3328901827335;Paris;
18011;Pajol - Place Herbert;OUI;39;36;3;1;2;OUI;OUI;2024-06-15T12:51:41+02:00;48.8927825, 2.3635598;Paris;
51005;Yves Farges - Route d'Enghien;NON;1;1;0;0;0;NON;NON;2024-05-30T07:35:54+02:00;48.95756799268, 2.2834496977978;Argenteuil;
21212;Marne - Germain Dardan;OUI;22;19;3;2;1;OUI;OUI;2024-06-15T12:52:08+02:00;48.81217465201, 2.3035024699104;Montrouge;
46003;Conservatoire de Musique;OUI;25;4;20;15;5;OUI;OUI;2024-06-15T12:52:02+02:00;48.77093586667601, 2.4034014344215398;Choisy-le-Roi;
14003;Schoelcher - Raspail;OUI;50;17;30;21;9;OUI;OUI;2024-06-15T12:51:27+02:00;48.83681733526843, 2.3312794080411474;Paris;
41209;Cimetière de Fontenay-sous-Bois;OUI;15;11;4;0;4;OUI;OUI;2024-06-15T12:46:21+02:00;48.84706173362218, 2.4787822365760808;Fontenay-sous-Bois;
19103;Manin - Carrières d'Amérique;OUI;20;10;9;3;6;OUI;OUI;2024-06-15T12:49:43+02:00;48.88467214209463, 2.3919698596000676;Paris;
8045;Place de la Reine Astrid;OUI;58;43;12;7;5;OUI;OUI;2024-06-15T12:51:56+02:00;48.864920982538, 2.3025491823859;Paris;
14138;Porte de Vanves;OUI;32;17;15;7;8;OUI;OUI;2024-06-15T12:51:53+02:00;48.828012849445, 2.3056878894567;Paris;
5004;Saint-Jacques - Val de Grâce;OUI;19;19;0;0;0;NON;NON;2024-06-15T12:50:53+02:00;48.8417514, 2.3413893;Paris;
12114;Victor Hugo - Jeanne Jugan;OUI;28;26;1;1;0;OUI;OUI;2024-06-15T12:47:46+02:00;48.843949064031825, 2.415081394834419;Paris;
31102;Boissière - Etienne Dolet;OUI;21;19;2;0;2;OUI;OUI;2024-06-15T12:43:37+02:00;48.876111, 2.4677312;Montreuil;
21312;Lucie Aubrac - Fort;OUI;30;27;3;0;3;OUI;OUI;2024-06-15T12:50:00+02:00;48.818144834008976, 2.271184623241425;Issy-les-Moulineaux;
18022;Marcadet - Barbès;OUI;37;29;4;2;2;OUI;OUI;2024-06-15T12:51:11+02:00;48.890451120965, 2.3490573929687;Paris;
13001;Port-Royal - Hôpital du Val-de-Grâce;OUI;18;12;4;2;2;OUI;OUI;2024-06-15T12:50:44+02:00;48.837668272811, 2.3448138346607;Paris;
15109;Cevennes - Bergers;OUI;29;16;10;8;2;OUI;OUI;2024-06-15T12:52:03+02:00;48.84240765130395, 2.281037718057633;Paris;
18028;Championnet - Vauvenargues;OUI;33;30;1;1;0;OUI;OUI;2024-06-15T12:52:08+02:00;48.89401874744574, 2.3319872841238976;Paris;
10042;Enghien - Faubourg Poissonnière;OUI;33;18;13;4;9;OUI;OUI;2024-06-15T12:52:00+02:00;48.872420063053, 2.3483952362828;Paris;
42014;Place Marcel Cachin;OUI;32;8;24;19;5;OUI;OUI;2024-06-15T12:52:00+02:00;48.81411442356866, 2.39090770483017;Ivry-sur-Seine;
14008;Mouton Duvernet - Général Leclerc;OUI;28;28;0;0;0;NON;NON;2024-06-15T12:45:36+02:00;48.831632518293, 2.3293121159077;Paris;
8017;Rocher - Laborde;OUI;65;44;20;18;2;OUI;OUI;2024-06-15T12:51:41+02:00;48.87590240712654, 2.322616316378116;Paris;
17203;Place de la Porte de Champeret;OUI;28;25;1;1;0;OUI;OUI;2024-06-15T12:45:11+02:00;48.886062068226, 2.2917001576821;Paris;
